CO_ID;CL_ID;DATA;CL_GENERO;CL_SEG;QTD_ITENS;QTD_PRODUTOS_DISTINTOS;QTD_CATEGORIAS_DISTINTAS;CATEGORIAS
1000;534;01/02/2019;M;C;46;46;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
1040;279;01/02/2019;M;B;15;15;5;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
1078;290;01/02/2019;F;B;63;63;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1082;323;01/02/2019;M;B;62;62;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1103;957;01/02/2019;M;B;6;6;3;['#N/D', 'ALIMENTOS', 'HIGIENE']
1121;49;01/02/2019;M;C;54;54;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1188;906;01/02/2019;M;A;67;67;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1200;653;01/02/2019;M;C;70;70;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1240;842;01/02/2019;M;B;33;33;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1293;616;01/02/2019;F;C;8;8;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
1298;406;01/02/2019;M;C;6;6;4;['ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
1375;576;01/02/2019;M;B;36;36;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1433;652;01/02/2019;F;B;60;60;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1482;453;01/02/2019;F;B;49;49;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1568;829;01/02/2019;F;B;36;36;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
1569;251;01/02/2019;F;C;15;15;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1637;397;01/02/2019;F;B;65;65;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1683;438;01/02/2019;F;B;76;76;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1768;69;01/02/2019;M;A;12;12;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
1793;608;01/02/2019;F;C;31;31;6;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
1850;423;01/02/2019;F;A;64;64;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1874;53;01/02/2019;M;B;61;61;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
1943;886;01/02/2019;F;B;12;12;2;['ALIMENTOS', 'HIGIENE']
1954;624;01/02/2019;M;B;7;7;3;['ALIMENTOS', 'BEBIDAS', 'LIMPEZA']
1985;94;01/02/2019;M;C;1;1;1;['ALIMENTOS']
2058;428;01/02/2019;F;A;39;39;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
2112;72;01/02/2019;F;A;6;6;2;['ALIMENTOS', 'HIGIENE']
2151;493;01/02/2019;M;B;66;66;6;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
2224;497;01/02/2019;M;B;74;74;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
2311;164;01/02/2019;M;A;34;34;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
2327;689;01/02/2019;M;C;74;74;6;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
2338;99;01/02/2019;F;C;32;32;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
2358;866;01/02/2019;M;C;19;19;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
2390;801;01/02/2019;M;B;6;6;2;['ALIMENTOS', 'HIGIENE']
2424;279;01/02/2019;M;B;40;40;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
2522;340;01/02/2019;M;B;31;31;6;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
2599;52;01/02/2019;F;A;21;21;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
2668;574;01/02/2019;F;B;29;29;6;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
2757;328;01/02/2019;M;B;21;21;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
2830;466;01/02/2019;F;C;26;26;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
2880;296;01/02/2019;F;B;50;50;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
2950;149;01/02/2019;M;A;25;25;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
2995;406;01/02/2019;M;C;58;58;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
3076;458;01/02/2019;F;C;65;65;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
3157;776;01/02/2019;F;B;45;45;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
3220;746;01/02/2019;M;C;69;69;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
3305;45;01/02/2019;M;A;33;33;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
3395;798;01/02/2019;M;B;38;38;6;['#N/D', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
3444;709;01/02/2019;F;B;63;63;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
3461;796;01/02/2019;M;B;76;76;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
3523;878;01/02/2019;F;C;15;15;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
3561;888;01/02/2019;F;B;33;33;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
3634;246;01/02/2019;M;B;49;49;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
3689;433;01/02/2019;M;B;50;50;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
3763;433;01/02/2019;M;B;60;60;6;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
3855;545;01/02/2019;M;B;28;28;4;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
3949;943;01/02/2019;F;C;7;7;5;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA']
3950;429;01/02/2019;M;C;23;23;5;['ACESSORIOS', 'ALIMENTOS', 'HIGIENE', 'LIMPEZA', 'PET']
3970;56;01/02/2019;F;B;31;31;5;['ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
4009;922;01/02/2019;M;B;23;23;7;['#N/D', 'ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
4017;305;01/02/2019;F;B;68;68;6;['ACESSORIOS', 'ALIMENTOS', 'BEBIDAS', 'HIGIENE', 'LIMPEZA', 'PET']
